round_epochs,loss,f1_score,val_loss,val_f1_score,batch_size,dropout,filter_size,filters,lr,optimizer,units
21,0.02201810016767266,0.9929736,0.10700415896299557,0.9749978,64,0.1,3,128,0.01,Nadam,100
17,0.02873926886783023,0.9905847,0.09915915198433094,0.97598225,64,0.1,3,128,0.01,Adam,100
17,0.019239547857662655,0.9938727,0.12570932966012222,0.97542906,64,0.1,3,128,0.01,RMSprop,100
