round_epochs,loss,f1_score,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,precision_4,recall_4,f1_4,precision_5,recall_5,f1_5,precision_6,recall_6,f1_6,precision_7,recall_7,f1_7,precision_8,recall_8,f1_8,precision_9,recall_9,f1_9,precision_10,recall_10,f1_10,precision_11,recall_11,f1_11,precision_12,recall_12,f1_12,precision_13,recall_13,f1_13,precision_14,recall_14,f1_14,precision_15,recall_15,f1_15,precision_16,recall_16,f1_16,precision_17,recall_17,f1_17,precision_18,recall_18,f1_18,precision_19,recall_19,f1_19,precision_20,recall_20,f1_20,val_loss,val_f1_score,val_precision_0,val_recall_0,val_f1_0,val_precision_1,val_recall_1,val_f1_1,val_precision_2,val_recall_2,val_f1_2,val_precision_3,val_recall_3,val_f1_3,val_precision_4,val_recall_4,val_f1_4,val_precision_5,val_recall_5,val_f1_5,val_precision_6,val_recall_6,val_f1_6,val_precision_7,val_recall_7,val_f1_7,val_precision_8,val_recall_8,val_f1_8,val_precision_9,val_recall_9,val_f1_9,val_precision_10,val_recall_10,val_f1_10,val_precision_11,val_recall_11,val_f1_11,val_precision_12,val_recall_12,val_f1_12,val_precision_13,val_recall_13,val_f1_13,val_precision_14,val_recall_14,val_f1_14,val_precision_15,val_recall_15,val_f1_15,val_precision_16,val_recall_16,val_f1_16,val_precision_17,val_recall_17,val_f1_17,val_precision_18,val_recall_18,val_f1_18,val_precision_19,val_recall_19,val_f1_19,val_precision_20,val_recall_20,val_f1_20,batch_size,dim,dropout,lr,optimizer,units
24,0.054177697747945786,0.982069194316864,0.8482758402824402,0.7454545497894287,0.7935483455657959,0.8803132176399231,0.884269654750824,0.8822870254516602,0.8152610659599304,0.683501660823822,0.7435897588729858,0.8010203838348389,0.7008928656578064,0.7476190328598022,0.7806603908538818,0.7421524524688721,0.7609195113182068,0.719710648059845,0.6600331664085388,0.6885812878608704,0.8512820601463318,0.8653345108032227,0.8582507371902466,0.7406616806983948,0.6967871189117432,0.7180548906326294,0.779026210308075,0.6731391549110413,0.7222222089767456,0.7814569473266602,0.7108433842658997,0.7444794774055481,0.8269230723381042,0.682539701461792,0.7478260397911072,0.7731092572212219,0.6433566212654114,0.7022900581359863,0.6379310488700867,0.4404761791229248,0.5211267471313477,1.0,0.5,0.6666666865348816,0.7647058963775635,0.6898838877677917,0.725370466709137,0.8700440526008606,0.8846584558486938,0.8772903680801392,0.7870370149612427,0.7572383284568787,0.7718501687049866,0.8189066052436829,0.8389731645584106,0.8288184404373169,0.9117082357406616,0.884543776512146,0.8979206085205078,0.7531120181083679,0.6940726637840271,0.7223880290985107,0.9913062453269958,0.9942476153373718,0.9927747249603271,0.07264768332242966,0.9799048900604248,0.688524603843689,0.7118644118309021,0.7000000476837158,0.8939828276634216,0.9069767594337463,0.9004329442977905,0.5476190447807312,0.3801652789115906,0.44878047704696655,0.5806451439857483,0.36000001430511475,0.444444477558136,0.729468584060669,0.8678160905838013,0.7926509380340576,0.7683397531509399,0.7056737542152405,0.7356746792793274,0.8813559412956238,0.8907923102378845,0.8860490322113037,0.7494505643844604,0.7396963238716125,0.7445414662361145,0.6283186078071594,0.6893203854560852,0.6574074029922485,0.698113203048706,0.6271186470985413,0.660714328289032,0.7446808218955994,0.760869562625885,0.7526881694793701,0.5696202516555786,0.3571428656578064,0.4390243887901306,0.8333333134651184,0.5813953280448914,0.6849314570426941,0.0,0.0,0.0,0.7786561250686646,0.6936619877815247,0.7337057590484619,0.8735954761505127,0.8962535858154297,0.8847795128822327,0.7300000190734863,0.8439306616783142,0.7828418016433716,0.7899543642997742,0.8543210029602051,0.8208777904510498,0.7277227640151978,0.8352272510528564,0.7777777910232544,0.7558685541152954,0.5897436141967773,0.6625514626502991,0.9908462762832642,0.9923859238624573,0.9916154742240906,32,300,0.5,0.01,Adam,50
37,0.04993899539113045,0.9830575585365295,0.8255033493041992,0.7454545497894287,0.7834394574165344,0.8864142298698425,0.8943819999694824,0.8903802633285522,0.7974137663841248,0.6228955984115601,0.699432909488678,0.8152173757553101,0.6696428656578064,0.7352941632270813,0.8009592294692993,0.7488788962364197,0.7740440368652344,0.739054262638092,0.6998341679573059,0.7189096808433533,0.8747856020927429,0.8861859440803528,0.8804488778114319,0.7795100212097168,0.7028112411499023,0.739176332950592,0.8405796885490417,0.7508090734481812,0.7931624054908752,0.8472222089767456,0.7349397540092468,0.7870967984199524,0.8078292012214661,0.720634937286377,0.7617449760437012,0.8146551847457886,0.6608391404151917,0.7297296524047852,0.6507936716079712,0.488095223903656,0.557823121547699,0.0,0.0,0.0,0.7614678740501404,0.6882255673408508,0.7229965329170227,0.852780818939209,0.8756998777389526,0.8640883564949036,0.8177676796913147,0.7995545864105225,0.8085585832595825,0.818599283695221,0.8319720029830933,0.8252314329147339,0.9412878751754761,0.9255120754241943,0.9333333373069763,0.7543859481811523,0.6577438116073608,0.7027579545974731,0.9916108846664429,0.9948058724403381,0.9932057857513428,0.07227308303117752,0.9801697134971619,0.7333333492279053,0.7457627058029175,0.7394957542419434,0.9221183657646179,0.8604651093482971,0.8902255296707153,0.6202531456947327,0.40495866537094116,0.49000000953674316,0.6727272868156433,0.3700000047683716,0.4774194061756134,0.7549999952316284,0.8678160905838013,0.8074865937232971,0.7575757503509521,0.7092198729515076,0.7326006889343262,0.8616600632667542,0.9336188435554504,0.8961973190307617,0.7644444704055786,0.7462038993835449,0.7552140951156616,0.6581196784973145,0.7475728392601013,0.699999988079071,0.625,0.5932203531265259,0.6086956262588501,0.7411764860153198,0.6847826242446899,0.7118644118309021,0.5633803009986877,0.3174603283405304,0.4060913622379303,0.7837837934494019,0.6744186282157898,0.7250000238418579,0.0,0.0,0.0,0.7933884263038635,0.6760563254356384,0.730038046836853,0.9402515888214111,0.8616714477539062,0.8992481231689453,0.7192118167877197,0.8439306616783142,0.7765957117080688,0.7846890091896057,0.809876561164856,0.797083854675293,0.75,0.7840909361839294,0.7666666507720947,0.7455357313156128,0.6117216348648071,0.6720322370529175,0.9904493689537048,0.9932476282119751,0.9918465614318848,64,300,0.5,0.01,Adam,50
49,0.050112415105104446,0.9834779500961304,0.8835616707801819,0.7818182110786438,0.8295820355415344,0.8917410969734192,0.8977528214454651,0.8947368860244751,0.8017241358757019,0.6262626051902771,0.703213632106781,0.8232323527336121,0.7276785969734192,0.7725118398666382,0.806526780128479,0.7757847309112549,0.7908571362495422,0.7616487741470337,0.704809308052063,0.7321274876594543,0.8678414225578308,0.8557775616645813,0.8617672920227051,0.7513227462768555,0.7128514051437378,0.7315816283226013,0.8805969953536987,0.7637540698051453,0.8180243372917175,0.85161292552948,0.7951807379722595,0.8224299550056458,0.8148148059844971,0.7682539820671082,0.7908496856689453,0.8165938854217529,0.6538461446762085,0.7262136340141296,0.6909090876579285,0.4523809552192688,0.5467625856399536,0.0,0.0,0.0,0.7888675332069397,0.6815920472145081,0.7313166856765747,0.8743047714233398,0.8801791667938232,0.8772321343421936,0.8290992975234985,0.7995545864105225,0.8140589594841003,0.8155784606933594,0.8308051228523254,0.8231213688850403,0.9498069286346436,0.916201114654541,0.9327014088630676,0.7795100212097168,0.6692160367965698,0.7201645970344543,0.991672933101654,0.9950546622276306,0.9933609366416931,0.07405286282300949,0.978351354598999,0.6615384817123413,0.7288135886192322,0.6935484409332275,0.8818444013595581,0.8895348906517029,0.885672926902771,0.550000011920929,0.4545454680919647,0.4977375566959381,0.7037037014961243,0.3799999952316284,0.4935064911842346,0.6912442445755005,0.8620689511299133,0.7672633528709412,0.6379310488700867,0.7872340679168701,0.7047619223594666,0.8470824956893921,0.9014989137649536,0.8734439611434937,0.7588357329368591,0.7917570471763611,0.774946928024292,0.5302013158798218,0.7669903039932251,0.6269841194152832,0.6140350699424744,0.5932203531265259,0.6034483313560486,0.7191011309623718,0.695652186870575,0.7071822881698608,0.5890411138534546,0.341269850730896,0.43216079473495483,0.6000000238418579,0.41860464215278625,0.4931507110595703,0.0,0.0,0.0,0.6676737070083618,0.7781690359115601,0.7186992168426514,0.8631284832954407,0.890489935874939,0.876595675945282,0.6869158744812012,0.849711000919342,0.7596899271011353,0.8145363330841064,0.8024691343307495,0.8084577322006226,0.71875,0.7840909361839294,0.75,0.6120401620864868,0.6703296899795532,0.6398601531982422,0.9927033185958862,0.9897584319114685,0.9912287592887878,128,300,0.5,0.01,Adam,50
62,0.05495714396238327,0.9821081757545471,0.8652482032775879,0.739393949508667,0.7973856329917908,0.8669623136520386,0.8786516785621643,0.8727678656578064,0.7606837749481201,0.5993266105651855,0.6704331636428833,0.7611111402511597,0.6116071343421936,0.6782178282737732,0.7734553813934326,0.7578475475311279,0.7655718922615051,0.7265917658805847,0.6434494256973267,0.6824978590011597,0.8672488927841187,0.8627280592918396,0.8649826049804688,0.7772778272628784,0.6937751173973083,0.7331565618515015,0.8257261514663696,0.6440129280090332,0.7236363887786865,0.8702290058135986,0.6867470145225525,0.7676767706871033,0.8144329786300659,0.7523809671401978,0.7821782231330872,0.780701756477356,0.6223776340484619,0.6926069855690002,0.5714285969734192,0.2857142984867096,0.380952388048172,0.0,0.0,0.0,0.752399206161499,0.6500829458236694,0.6975088715553284,0.8579418063163757,0.8589025735855103,0.8584219217300415,0.772042989730835,0.7995545864105225,0.7855579853057861,0.8289785981178284,0.8144690990447998,0.8216598033905029,0.95219886302948,0.9273743033409119,0.939622700214386,0.7544642686843872,0.6462715268135071,0.6961894631385803,0.9906713962554932,0.994939386844635,0.9928008317947388,0.07085815817117691,0.9792295694351196,0.6875,0.7457627058029175,0.715447187423706,0.9107692241668701,0.8604651093482971,0.8849028944969177,0.5670102834701538,0.4545454680919647,0.5045871138572693,0.6379310488700867,0.3700000047683716,0.4683544933795929,0.7047619223594666,0.8505747318267822,0.7708333134651184,0.7237762212753296,0.7340425252914429,0.7288732528686523,0.8326771855354309,0.9057815670967102,0.8676922917366028,0.7615894079208374,0.7483730912208557,0.754923403263092,0.5785714387893677,0.7864077687263489,0.6666666269302368,0.609375,0.6610169410705566,0.6341463327407837,0.7586206793785095,0.717391312122345,0.737430214881897,0.5454545617103577,0.4285714328289032,0.48000001907348633,0.7241379022598267,0.4883720874786377,0.5833333134651184,0.0,0.0,0.0,0.7234042286872864,0.7183098793029785,0.7208480834960938,0.8732394576072693,0.8933717608451843,0.8831908702850342,0.720812201499939,0.8208092451095581,0.76756751537323,0.7925925850868225,0.7925925850868225,0.7925926446914673,0.7251184582710266,0.8693181872367859,0.7906976342201233,0.7142857313156128,0.6410256624221802,0.6756756901741028,0.9916343092918396,0.9912840723991394,0.9914591312408447,256,300,0.5,0.01,Adam,50
