round_epochs,loss,f1_score,val_loss,val_f1_score,batch_size,dropout,lr,optimizer,units
18,0.01733951873763978,0.9944026,0.059380679104568526,0.983731,64,0.1,0.01,Nadam,100
23,0.012859896573925687,0.9959072,0.06386122563270197,0.984,64,0.1,0.01,Adam,100
15,0.008336103303688709,0.9972924,0.07488675244984899,0.98360157,64,0.1,0.01,RMSprop,100
54,0.025819274048521138,0.99186146,0.0613737570411178,0.9823178,64,0.1,0.001,Nadam,100
56,0.023378481896959732,0.9926236,0.06125108017624237,0.98254687,64,0.1,0.001,Adam,100
33,0.021722206724024265,0.9931728,0.06387167013877094,0.98172325,64,0.1,0.001,RMSprop,100
100,0.08453201210108872,0.9751998,0.0907493314276924,0.9735205,64,0.1,0.0001,Nadam,100
100,0.08322591578291956,0.97562164,0.08966212240567974,0.97435236,64,0.1,0.0001,Adam,100
100,0.055519477159620446,0.98279643,0.0747732285521823,0.97830373,64,0.1,0.0001,RMSprop,100
