round_epochs,loss,f1_score,val_loss,val_f1_score,batch_size,dropout,lr,optimizer,units
25,0.01931083073543611,0.99374574,0.05907732111272435,0.9843556,64,0.1,0.01,Adam,50
23,0.014170251699669338,0.99547017,0.06677136855448625,0.9833768,64,0.1,0.01,Adam,100
25,0.009407224351209458,0.99713886,0.0697410281148691,0.9837463,64,0.1,0.01,Adam,200
