round_epochs,loss,f1_score,val_loss,val_f1_score,batch_size,dropout,lr,optimizer,units
33,0.03787637822260367,0.98752785,0.05625565091213998,0.9838882,32,0.5,0.01,Adam,50
45,0.03566815646661219,0.9880367,0.054054104502259545,0.9844724,64,0.5,0.01,Adam,50
61,0.03636144616893519,0.9877679,0.05426674359541498,0.98408496,128,0.5,0.01,Adam,50
84,0.0392219198293218,0.98697895,0.05122726296940032,0.9843786,256,0.5,0.01,Adam,50
