round_epochs,loss,f1_score,val_loss,val_f1_score,batch_size,dropout,lr,optimizer,units
24,0.019298480275287248,0.99370027,0.057876609001887264,0.98424834,64,0.1,0.01,Adam,50
33,0.02726880290380148,0.990911,0.055375212463436074,0.984575,64,0.3,0.01,Adam,50
36,0.040081839416628684,0.9866877,0.05317915912098391,0.98472637,64,0.5,0.01,Adam,50
54,0.05583244401996381,0.98234373,0.05601476783526691,0.9830569,64,0.7,0.01,Adam,50
