round_epochs,loss,f1_score,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,precision_4,recall_4,f1_4,precision_5,recall_5,f1_5,precision_6,recall_6,f1_6,precision_7,recall_7,f1_7,precision_8,recall_8,f1_8,precision_9,recall_9,f1_9,precision_10,recall_10,f1_10,precision_11,recall_11,f1_11,precision_12,recall_12,f1_12,precision_13,recall_13,f1_13,precision_14,recall_14,f1_14,precision_15,recall_15,f1_15,precision_16,recall_16,f1_16,precision_17,recall_17,f1_17,precision_18,recall_18,f1_18,precision_19,recall_19,f1_19,precision_20,recall_20,f1_20,val_loss,val_f1_score,val_precision_0,val_recall_0,val_f1_0,val_precision_1,val_recall_1,val_f1_1,val_precision_2,val_recall_2,val_f1_2,val_precision_3,val_recall_3,val_f1_3,val_precision_4,val_recall_4,val_f1_4,val_precision_5,val_recall_5,val_f1_5,val_precision_6,val_recall_6,val_f1_6,val_precision_7,val_recall_7,val_f1_7,val_precision_8,val_recall_8,val_f1_8,val_precision_9,val_recall_9,val_f1_9,val_precision_10,val_recall_10,val_f1_10,val_precision_11,val_recall_11,val_f1_11,val_precision_12,val_recall_12,val_f1_12,val_precision_13,val_recall_13,val_f1_13,val_precision_14,val_recall_14,val_f1_14,val_precision_15,val_recall_15,val_f1_15,val_precision_16,val_recall_16,val_f1_16,val_precision_17,val_recall_17,val_f1_17,val_precision_18,val_recall_18,val_f1_18,val_precision_19,val_recall_19,val_f1_19,val_precision_20,val_recall_20,val_f1_20,batch_size,dim,dropout,filter_size,filters,lr,optimizer,units
43,0.03997630625963211,0.9868518710136414,0.8941176533699036,0.7169811129570007,0.7958115339279175,0.8458333611488342,0.6904761791229248,0.7602996230125427,0.7966101765632629,0.510869562625885,0.6225165724754333,0.8622221946716309,0.8453159332275391,0.8536853790283203,0.9021113514900208,0.9233791828155518,0.9126213788986206,0.8246753215789795,0.793749988079071,0.8089171648025513,0.8675373196601868,0.7854729890823364,0.8244680762290955,0.8732394576072693,0.7798742055892944,0.8239203095436096,0.8832684755325317,0.7992957830429077,0.8391866683959961,0.9222096800804138,0.9402298927307129,0.9311325550079346,0.8663967847824097,0.7353951930999756,0.7955390214920044,0.8155668377876282,0.7940691709518433,0.8046744465827942,0.846441924571991,0.7793103456497192,0.8114901781082153,0.8388158082962036,0.8346972465515137,0.8367514610290527,0.8345705270767212,0.8563656210899353,0.845327615737915,0.8071795105934143,0.7715686559677124,0.7889723777770996,0.8994515538215637,0.8913043737411499,0.8953593969345093,0.8282608985900879,0.8300653696060181,0.8291621208190918,0.0,0.0,0.0,0.92766934633255,0.922374427318573,0.925014317035675,0.9937018752098083,0.9957400560379028,0.994719922542572,0.08339882642030716,0.9774262309074402,0.5932203531265259,0.3125,0.4093567132949829,0.4886363744735718,0.3467741906642914,0.40566036105155945,0.5,0.2857142984867096,0.3636363744735718,0.737500011920929,0.7329192757606506,0.7352025508880615,0.8736263513565063,0.779411792755127,0.823834240436554,0.7599999904632568,0.59375,0.6666666269302368,0.5584415793418884,0.6323529481887817,0.5931035280227661,0.8181818127632141,0.5454545617103577,0.6545454859733582,0.7647058963775635,0.7398374080657959,0.7520661354064941,0.8746594190597534,0.8818681240081787,0.8782489895820618,0.46464645862579346,0.3801652789115906,0.41818180680274963,0.6800000071525574,0.7338129281997681,0.7058823704719543,0.746268630027771,0.4098360538482666,0.5291005373001099,0.7400721907615662,0.7427536249160767,0.7414105534553528,0.7683923840522766,0.8221574425697327,0.794366180896759,0.7024608254432678,0.7185354828834534,0.7104072570800781,0.831792950630188,0.8754863739013672,0.8530805110931396,0.7197452187538147,0.6932515501976013,0.706250011920929,0.0,0.0,0.0,0.8653846383094788,0.8653846383094788,0.8653846383094788,0.9896674752235413,0.9916104078292847,0.9906379580497742,32,400,0.3,2,64,0.001,Adam,100
62,0.04169128090143204,0.9865021109580994,0.885869562625885,0.7688679099082947,0.8232323527336121,0.8614718317985535,0.6768707633018494,0.7580952048301697,0.7101449370384216,0.532608687877655,0.6086956262588501,0.8464912176132202,0.8409585952758789,0.8437158465385437,0.9383698105812073,0.9273084402084351,0.9328063130378723,0.8689655065536499,0.7875000238418579,0.8262295126914978,0.8548094630241394,0.7956081032752991,0.8241469860076904,0.8428571224212646,0.7421383857727051,0.7892976999282837,0.8145454525947571,0.7887324094772339,0.8014310598373413,0.9227272868156433,0.9333333373069763,0.9280000329017639,0.8713693022727966,0.7216494679450989,0.7894737124443054,0.7906976938247681,0.7841845154762268,0.7874276041984558,0.8265682458877563,0.7724137902259827,0.798573911190033,0.823429524898529,0.7937806844711304,0.8083333373069763,0.8371089696884155,0.8443960547447205,0.8407367467880249,0.7944785356521606,0.7617647051811218,0.7777777910232544,0.9075937867164612,0.8985507488250732,0.9030497074127197,0.8444924354553223,0.8518518805503845,0.8481561541557312,0.0,0.0,0.0,0.9246575236320496,0.9246575236320496,0.9246575236320496,0.9936351776123047,0.9956611394882202,0.9946470856666565,0.08205530792474747,0.9782496690750122,0.6304348111152649,0.2589285671710968,0.3670886158943176,0.5,0.3306451737880707,0.3980582356452942,0.47999998927116394,0.34285715222358704,0.4000000059604645,0.7126436829566956,0.7701863646507263,0.7402985095977783,0.7509578466415405,0.9607843160629272,0.8430107235908508,0.6285714507102966,0.6875,0.6567164063453674,0.695652186870575,0.5490196347236633,0.6136986613273621,0.6896551847457886,0.6060606241226196,0.6451613306999207,0.7322834730148315,0.7560975551605225,0.7440000176429749,0.9008498787879944,0.8736263513565063,0.8870292901992798,0.5348837375640869,0.3801652789115906,0.4444444477558136,0.737051784992218,0.6654676198959351,0.6994328498840332,0.7272727489471436,0.5245901346206665,0.6095238327980042,0.7722007632255554,0.7246376872062683,0.7476635575294495,0.7819148898124695,0.8571428656578064,0.8178024888038635,0.7407407164573669,0.6407322883605957,0.6871165633201599,0.8477842211723328,0.8560311198234558,0.8518877625465393,0.7041420340538025,0.7300613522529602,0.7168674468994141,0.0,0.0,0.0,0.8681318759918213,0.8681318759918213,0.8681318759918213,0.9891177415847778,0.992344856262207,0.9907286763191223,64,400,0.3,2,64,0.001,Adam,100
92,0.04584116116166115,0.9851909279823303,0.8539325594902039,0.7169811129570007,0.779487133026123,0.8082191944122314,0.6020408272743225,0.6900585293769836,0.7777777910232544,0.30434781312942505,0.4374999701976776,0.8373626470565796,0.8300653696060181,0.833698034286499,0.970059871673584,0.9548133611679077,0.9623762369155884,0.8611111044883728,0.7749999761581421,0.8157894611358643,0.8309090733528137,0.7719594836235046,0.8003502488136292,0.8913043737411499,0.7735849022865295,0.8282828330993652,0.7906137108802795,0.7711267471313477,0.7807486653327942,0.9066058993339539,0.9149425029754639,0.9107550978660583,0.8220338821411133,0.6666666865348816,0.7362428903579712,0.7659208178520203,0.7331136465072632,0.7491582632064819,0.8507462739944458,0.7862069010734558,0.8172042965888977,0.8041236996650696,0.7659574747085571,0.7845766544342041,0.8394649028778076,0.8193688988685608,0.8292952179908752,0.8046709299087524,0.7431372404098511,0.772680938243866,0.8869644403457642,0.8813405632972717,0.8841435313224792,0.8623024821281433,0.8322439789772034,0.8470066785812378,0.0,0.0,0.0,0.9069239497184753,0.9121004343032837,0.9095048308372498,0.9924620389938354,0.9955155253410339,0.9939864873886108,0.08415771275758743,0.9778006672859192,0.6486486196517944,0.2142857164144516,0.3221476674079895,0.5189873576164246,0.3306451737880707,0.40394091606140137,0.3888888955116272,0.20000000298023224,0.2641509473323822,0.7195122241973877,0.7329192757606506,0.7261539101600647,0.8202764987945557,0.8725489974021912,0.8456056714057922,0.6851851940155029,0.578125,0.6271186470985413,0.6075268983840942,0.5539215803146362,0.5794872045516968,0.7090908885002136,0.5909090638160706,0.6446280479431152,0.7894737124443054,0.7317073345184326,0.7594937086105347,0.8705233931541443,0.8681318759918213,0.8693259358406067,0.6081081032752991,0.3719008266925812,0.4615384340286255,0.6832740306854248,0.6906474828720093,0.6869409680366516,0.7228915691375732,0.49180328845977783,0.585365891456604,0.7288732528686523,0.75,0.7392857074737549,0.8391813039779663,0.8367347121238708,0.8379562497138977,0.7085201740264893,0.7231121063232422,0.7157418131828308,0.839483380317688,0.8852140307426453,0.8617424368858337,0.6982248425483704,0.7239263653755188,0.7108433246612549,0.0,0.0,0.0,0.862162172794342,0.8763736486434937,0.8692097663879395,0.9891974925994873,0.9919917583465576,0.9905926585197449,128,400,0.3,2,64,0.001,Adam,100
100,0.06221822649240494,0.9806672930717468,0.7801418304443359,0.5188679099082947,0.6232293844223022,0.7323232293128967,0.4931972920894623,0.5894309282302856,0.7777777910232544,0.15217390656471252,0.2545454502105713,0.7949886322021484,0.7603485584259033,0.7772828340530396,0.9055441617965698,0.8664047122001648,0.8855422139167786,0.875,0.699999988079071,0.7777777910232544,0.7397003769874573,0.6672297120094299,0.701598584651947,0.8557692170143127,0.5597484111785889,0.6768060922622681,0.877828061580658,0.6830986142158508,0.7683168053627014,0.8895089030265808,0.9160919785499573,0.9026047587394714,0.7224669456481934,0.5635738968849182,0.6332046389579773,0.7045044898986816,0.6441515684127808,0.6729776263237,0.7573221921920776,0.6241379380226135,0.6843100190162659,0.7559322118759155,0.7299509048461914,0.7427144050598145,0.7873254418373108,0.7976061105728149,0.792432427406311,0.7519909143447876,0.6480392217636108,0.6961559057235718,0.869767427444458,0.8469203114509583,0.8581918478012085,0.767241358757019,0.7755991220474243,0.771397590637207,0.0,0.0,0.0,0.8601321578025818,0.8915525078773499,0.8755605220794678,0.9899858832359314,0.994647741317749,0.9923112988471985,0.08342090994119644,0.9765167832374573,0.6285714507102966,0.1964285671710968,0.29931971430778503,0.45205479860305786,0.2661290466785431,0.3350253701210022,0.4444444477558136,0.11428571492433548,0.1818181723356247,0.709876537322998,0.7142857313156128,0.712074339389801,0.8073394298553467,0.8627451062202454,0.8341232538223267,0.7777777910232544,0.546875,0.642201840877533,0.5786802172660828,0.5588235259056091,0.5685785412788391,0.795918345451355,0.5909090638160706,0.6782608032226562,0.7523809671401978,0.642276406288147,0.6929824352264404,0.8307291865348816,0.8763736486434937,0.8529412746429443,0.5061728358268738,0.3388429880142212,0.40594059228897095,0.6751824617385864,0.6654676198959351,0.6702898144721985,0.6849315166473389,0.4098360538482666,0.5128204822540283,0.7094339728355408,0.6811594367027283,0.6950092911720276,0.8079096078872681,0.8338192701339722,0.8206599950790405,0.7099236845970154,0.6384439468383789,0.6722891330718994,0.8367729783058167,0.8677042722702026,0.8519579172134399,0.7197452187538147,0.6932515501976013,0.706250011920929,0.0,0.0,0.0,0.8552631735801697,0.8928571343421936,0.8736559152603149,0.9878328442573547,0.9918928742408752,0.9898586869239807,256,400,0.3,2,64,0.001,Adam,100
