round_epochs,loss,f1_score,val_loss,val_f1_score,batch_size,dropout,filter_size,filters,lr,optimizer,units
43,0.03419824014200228,0.9892403,0.08477354443528022,0.97760165,64,0.1,3,128,0.001,Adam,50
37,0.030219712512236888,0.99041784,0.08782893181740425,0.97718173,64,0.1,3,128,0.001,Adam,100
27,0.03531846545079601,0.98862284,0.08677352221850154,0.97673035,64,0.1,3,128,0.001,Adam,200
